Continent,Vaccine,benefit_risk_ratio,benefit_risk_ratio_low,benefit_risk_ratio_high,child_benefit_risk_ratio,child_benefit_risk_ratio_low,child_benefit_risk_ratio_high,sibling_benefit_risk_ratio,sibling_benefit_risk_ratio_low,sibling_benefit_risk_ratio_high,parent_benefit_risk_ratio,parent_benefit_risk_ratio_low,parent_benefit_risk_ratio_high,grandparent_benefit_risk_ratio,grandparent_benefit_risk_ratio_low,grandparent_benefit_risk_ratio_high,vac_deaths_averted,vac_deaths_averted_low,vac_deaths_averted_high,covid_deaths,covid_deaths_low,covid_deaths_high,child_covid_deaths,child_covid_deaths_low,child_covid_deaths_high,sibling_covid_deaths,sibling_covid_deaths_low,sibling_covid_deaths_high,parent_covid_deaths,parent_covid_deaths_low,parent_covid_deaths_high,grandparent_covid_deaths,grandparent_covid_deaths_low,grandparent_covid_deaths_high
Africa,Diphtheria (DTP3),2.82761502138846,0.767169786120334,10.1281263120239,1084.75988852343,62.4241293650746,193173.466677582,952.553510473423,54.8161157082318,169630.224864346,40.1183316935858,8.48428371834862,222.891642737378,3.11285834181246,0.856974464491185,11.2788819467725,26596.8130019232,20973.5694544141,35538.2397294118,4737.96635650449,1362.76048149314,15942.8708402632,12.1011077611096,0.0677479356580989,219.094078601451,13.7806392623834,0.0771507766483867,249.502485337263,335.045513602419,64.6556204552328,1494.97806250976,4239.83777872837,1247.56187897841,14546.642551015
Africa,HepB3,1.70599294593379,0.347156935190545,48.3713571375962,726.718348521946,30.4738394514442,319584.408521383,638.064483794829,26.7562731536633,280597.64978662,25.4664802105912,3.76583573097763,974.878234623982,1.85335134931132,0.384515254894641,50.9826406704804,14302.6691481024,6623.29961048814,373305.774250203,4739.88688337497,1363.33260587405,15949.216710399,12.1036081574229,0.067761934102861,219.139349004559,13.7853059599968,0.0771769031101855,249.58697725601,335.114742517948,64.6689799491082,1495.28696296001,4241.65166273104,1248.09560990227,14552.8658839803
Africa,Hib3,11.9387550375999,3.53052638378402,43.0610757206456,4579.78617497567,256.002861759656,883865.571992332,4017.35722341613,224.563965786201,775320.856588045,168.17010800655,36.4757693744916,931.2033214849,13.1825747682912,3.87628357409604,48.2862693592191,113522.580563594,95249.5546126424,139828.362429297,4756.45522826319,1368.14348315365,16004.6890104941,12.1399806609166,0.0679655652145792,219.797883768211,13.8395747510997,0.0774807264163213,250.569529516368,336.121794463492,64.8633164369176,1499.78044371195,4256.70117311375,1252.52389146175,14604.4998991314
Africa,MCV1,171.18220936762,42.4415390422669,2504.38209083354,72191.9886305484,3321.57475588421,30190842.5977124,63375.3300380581,2915.91768551404,26503697.2945699,2450.30363406252,480.931045248341,57422.917831937,189.465987163072,45.7264017055981,2931.50915822159,478783.001086365,400350.161858378,7568253.20557774,1594.39698280094,453.401621069602,5737.0317973477,4.03703160671484,0.0226016329604517,74.0313793415651,4.59865597036112,0.0257459302970559,84.3304877863456,113.094271833074,21.4588092797207,528.594145085571,1426.80672029294,413.40337807384,5204.91217996707
Africa,MCV2,5.77046473980871,1.54070294926458,22.277488574501,2242.32359464156,123.143406443537,448890.812946182,2157.85593074725,118.50463089342,431981.229332205,82.530822474078,15.8545269340681,548.180898781511,6.44976068568104,1.76046523712227,25.0924748818311,7135.05171909298,5488.71395789306,11903.3568566303,631.354243264623,179.311670949866,2266.82262760852,1.6216479129803,0.00907892097235499,29.7378974206238,1.68512611322378,0.00943430857459884,30.901965275413,45.4291934655853,8.61985653657515,212.332643312934,563.689749272427,163.323625562243,2056.30909918076
Africa,PCV3,11.3174517393653,3.19246079885667,40.1454044311128,4490.96107911932,249.674660392147,834016.032921296,3885.77345265567,216.029297529089,721626.685851906,163.998283866099,36.4514688616738,866.296737430693,12.4636629607718,3.51960522918706,44.9748474463501,94345.6422150304,78245.7717910825,116457.767321029,4217.81514180722,1214.74369022695,14183.1608541782,10.5770334099224,0.0592154200305443,191.500268820945,12.2243475990712,0.0684378927081115,221.325371742396,292.848197138313,56.5125665513082,1306.69300913794,3782.07449344937,1112.86615378459,12976.0827250376
Africa,Pertussis (DTP3),58.8777523279186,16.9742530414233,216.637067990228,22292.5371200302,1303.67954418273,4442859.68720338,19575.60812831,1144.79207747442,3901380.97505347,837.493312765386,174.847683089674,4391.21557449561,65.0286456630045,18.3940522098952,235.98258123346,548904.611452236,429765.196950684,725986.370269024,4737.96635650449,1362.76048149314,15942.8708402632,12.1011077611096,0.0677479356580989,219.094078601451,13.7806392623834,0.0771507766483867,249.502485337263,335.045513602419,64.6556204552328,1494.97806250976,4239.83777872837,1247.56187897841,14546.642551015
Africa,RCV1,10.5035339929936,0.847729988675263,738.651639085439,5307.98363576751,88.6428061532567,3814911.74362003,4695.19487226865,78.4092939001865,3374493.0817241,173.062654887429,9.66974131746949,12757.0895964582,11.4850818067156,0.954220118612209,814.806499385788,12922.1488290817,1806.46078184897,750230.574946697,627.525625572307,178.648417008532,2257.67741095789,1.5650480929306,0.00876204251238376,28.6999658023045,1.76930881304418,0.00990561191534951,32.4457137499197,43.843593931572,8.31900064491137,204.921670002394,562.835271232728,163.076048856108,2053.19201044471
Africa,RotaC,5.41240464716699,1.53226201724484,18.9086391294982,2174.3042060846,117.7629042681,396702.069100569,1948.35645222356,105.525304932612,355477.873693842,80.4421479503301,16.9390417469933,432.520070493148,5.97178685179664,1.69878510377474,20.634184640689,21459.674126988,18974.4565864347,24605.9999855842,2001.26149805787,574.974899067489,6966.42298755281,4.8715450103412,0.0270317241312146,88.5234557154102,5.43649022437704,0.030166549559831,98.7893780316718,134.88993761927,25.8426315828649,617.581534197348,1808.74179313453,526.560859886907,6395.14332994747
Africa,Tetanus (DTP3),15.0283936027976,4.31488170884302,53.149690719113,5913.00764390395,324.857619069941,1087068.51575099,5192.35293289078,285.265217420903,954580.771061926,212.130442060285,45.7198882384574,1215.1613767281,16.5356907538448,4.6712891490065,58.7270991532864,141351.900131209,108603.909278316,185910.39692067,4737.96635650449,1362.76048149314,15942.8708402632,12.1011077611096,0.0677479356580989,219.094078601451,13.7806392623834,0.0771507766483867,249.502485337263,335.045513602419,64.6556204552328,1494.97806250976,4239.83777872837,1247.56187897841,14546.642551015
