Country,ISO_code,Vaccine,benefit_risk_ratio,benefit_risk_ratio_low,benefit_risk_ratio_high,child_benefit_risk_ratio,child_benefit_risk_ratio_low,child_benefit_risk_ratio_high,sibling_benefit_risk_ratio,sibling_benefit_risk_ratio_low,sibling_benefit_risk_ratio_high,parent_benefit_risk_ratio,parent_benefit_risk_ratio_low,parent_benefit_risk_ratio_high,grandparent_benefit_risk_ratio,grandparent_benefit_risk_ratio_low,grandparent_benefit_risk_ratio_high,vac_deaths_averted,vac_deaths_averted_low,vac_deaths_averted_high,covid_deaths,covid_deaths_low,covid_deaths_high,child_covid_deaths,child_covid_deaths_low,child_covid_deaths_high,sibling_covid_deaths,sibling_covid_deaths_low,sibling_covid_deaths_high,parent_covid_deaths,parent_covid_deaths_low,parent_covid_deaths_high,grandparent_covid_deaths,grandparent_covid_deaths_low,grandparent_covid_deaths_high
Angola,AGO,Diphtheria (DTP3),3.68584186866882,0.784391626808239,17.7400905598409,843.024492194825,38.6516835535093,166537.253417444,677.224674194326,31.0499564887353,133783.938937781,31.0730284579235,4.99968504222587,218.063882404489,4.5083162998385,0.94678071338138,20.6196937515385,600.549155131084,228.680336878174,1538.31025658029,82.5208167883623,22.9482270801667,276.558461204116,0.359420883638187,0.00201221436744434,6.50741972432509,0.447415192415676,0.00250484966059453,8.100582299551,9.95134965618633,1.92036801051214,44.4030701035335,68.2462857389119,20.0813023783355,234.149129256576
Angola,AGO,HepB3,1.53332927874108,0.190340847317936,12.802463744946,355.707980382696,13.3846450085707,101303.009682982,285.749967353643,10.7522520864568,81379.4834701048,12.4881650082483,1.28486733956813,165.714597918661,1.79167928755403,0.222113491162521,15.7157088903332,246.766876235211,44.0347356276148,1522.93694819646,82.5208167883623,22.9482270801667,276.558461204116,0.359420883638187,0.00201221436744434,6.50741972432509,0.447415192415676,0.00250484966059453,8.100582299551,9.95134965618633,1.92036801051214,44.4030701035335,68.2462857389119,20.0813023783355,234.149129256576
Angola,AGO,Hib3,37.3609919010075,10.1256915205828,143.14438402511,8169.6432443943,439.988094507733,1493492.78667626,6562.89827364848,353.454492379706,1199763.67855593,303.105648189704,65.0715592469347,1806.73806949027,43.8224134466327,11.880024028026,172.541492389533,6094.64054548966,3427.24881115395,10621.049242,82.5208167883623,22.9482270801667,276.558461204116,0.359420883638187,0.00201221436744434,6.50741972432509,0.447415192415676,0.00250484966059453,8.100582299551,9.95134965618633,1.92036801051214,44.4030701035335,68.2462857389119,20.0813023783355,234.149129256576
Angola,AGO,MCV1,316.997033565162,81.6402957936971,1193.02523387819,73429.08791331,4114.51822374488,14751271.2810996,58987.5983424994,3305.30523056059,11850100.4179438,2529.93992018473,500.878235918795,14573.4021256305,385.217698446919,91.0310259251301,1388.38207834503,16561.9187776418,10970.080610011,24826.2953980256,26.6816098363282,7.24119062620828,95.7770523279039,0.114739607428725,0.000642378545864465,2.10410326957299,0.142830441614239,0.00079964724863059,2.61923503077837,3.21434004405134,0.609897467373718,15.023584307678,22.0074037023829,6.37643130201398,80.2817942688603
Angola,AGO,MCV2,13.5526131589909,3.63191802796452,50.4862407655978,3068.90132560394,152.895210839747,597741.45705804,2465.33252545924,122.824912331125,480182.091097563,110.034646742767,23.0465265664918,618.4428068256,16.1363942982977,4.22343723294105,59.2406632274182,307.747950235932,210.615533561627,458.029555371539,11.57182303968,3.14050677740527,41.5385393759733,0.0497626058154772,0.000278599788499625,0.912550286210971,0.0619456099230169,0.000346807277075212,1.1359631019801,1.39406034370818,0.264512733980106,6.5157334994629,9.5446182883626,2.76546037155216,34.8182408140292
Angola,AGO,PCV3,34.9091675143115,9.58093246047995,132.06225605836,7873.82963851382,441.704620580092,1559340.00480343,6325.26309849112,354.83342480796,1252660.55314931,288.986545659178,56.9407827882118,1734.33251109022,41.6873481500851,10.9789226274851,152.614084743788,5503.79956498098,3396.91918916642,9064.47701331919,80.5560354362585,22.4018407211151,269.973735937352,0.350863243551564,0.00196430450155281,6.35248115946021,0.436762449739113,0.00244521038296133,7.90771129241883,9.71441275961047,1.8746449626428,43.3458541486874,66.6213741736997,19.6031761312323,228.574149988562
Angola,AGO,Pertussis (DTP3),86.3185940958295,18.54241964751,425.115074699018,19505.0595307403,933.966620785541,4037233.80756368,15668.9487768688,750.280977985738,3243220.5413811,739.973573501008,123.955642954883,4968.62026729311,103.184912799007,21.2701502824843,493.797012936679,14436.3385162922,5588.69968158399,38860.7614923701,82.5208167883623,22.9482270801667,276.558461204116,0.359420883638187,0.00201221436744434,6.50741972432509,0.447415192415676,0.00250484966059453,8.100582299551,9.95134965618633,1.92036801051214,44.4030701035335,68.2462857389119,20.0813023783355,234.149129256576
Angola,AGO,RCV1,5.70335720907225,0.00457942039130793,4903.83969322354,1554.01258543227,0.583007363604393,5340187.57092354,1248.38089119247,0.4683457900991,4289919.00156977,46.1366614374553,0.0364722427421508,50999.3948983645,6.7942086134681,0.00569090655074544,6167.15767740112,298.624437374777,0.230253074081353,281921.667708713,26.6816098363282,7.24119062620828,95.7770523279039,0.114739607428725,0.000642378545864465,2.10410326957299,0.142830441614239,0.00079964724863059,2.61923503077837,3.21434004405134,0.609897467373718,15.023584307678,22.0074037023829,6.37643130201398,80.2817942688603
Angola,AGO,RotaC,30.0314338793757,7.50027833614682,112.605238074403,6552.26880690783,367.231858292761,1337231.94648526,5263.61707053028,295.007414243212,1074235.06394573,250.410451931961,49.5595865787209,1474.45770887018,35.1168944452807,8.97434293171505,136.025991393557,2978.62710513486,1728.87172665376,5081.21423589626,49.8794519352695,13.7042801390017,175.926981605635,0.216505538395725,0.00120136793858411,3.93423819335144,0.269510959240464,0.0014954898056083,4.89742810843287,5.99489864230577,1.1485212294115,27.447108110634,41.2860446634609,12.0191921598973,145.974496830685
Angola,AGO,Tetanus (DTP3),22.4857719790656,5.59544187380079,93.0006860821828,5043.23288887155,292.843870233392,1332760.98486692,4051.36716865734,235.249505138673,1070643.41796943,186.065318413161,31.4183591534043,1241.53715120863,26.683863747989,6.3626460286245,108.833774300588,3740.50425282392,1550.13400085194,8936.62514679036,82.5208167883623,22.9482270801667,276.558461204116,0.359420883638187,0.00201221436744434,6.50741972432509,0.447415192415676,0.00250484966059453,8.100582299551,9.95134965618633,1.92036801051214,44.4030701035335,68.2462857389119,20.0813023783355,234.149129256576
